FeatureCode,DateCode,Measurement,Units,Value,Type of Location Visited,Breakdown of Domestic Tourism
S92000003,2013,Count,Million Visits,33,Small town,Visits
S92000003,2016,Count,Million Visits,17,Village,Visits
S92000003,2015,Count,Million Visits,32,Small town,Visits
S92000003,2013,Count,Million Visits,15,Village,Visits
S92000003,2014,Count,Million Visits,4,Seaside - beach,Visits
S92000003,2016,Count,Million Visits,5,Seaside - beach,Visits
S92000003,2018,Count,Million Visits,16,Village,Visits
S92000003,2014,Count,Million Visits,12,Village,Visits
S92000003,2017,Count,Million Visits,19,Village,Visits
S92000003,2017,Count,Million Visits,70,City/large town,Visits
S92000003,2019,Count,Million Visits,7,Seaside - beach,Visits
S92000003,2019,Count,Million Visits,16,Village,Visits
S92000003,2014,Count,Million Visits,35,Small town,Visits
S92000003,2018,Count,Million Visits,38,Small town,Visits
S92000003,2013,Count,Million Visits,59,City/large town,Visits
S92000003,2018,Count,Million Visits,64,City/large town,Visits
S92000003,2016,Count,Million Visits,61,City/large town,Visits
S92000003,2015,Count,Million Visits,59,City/large town,Visits
S92000003,2017,Count,Million Visits,8,Seaside - beach,Visits
S92000003,2019,Count,Million Visits,59,City/large town,Visits
S92000003,2015,Count,Million Visits,4,Seaside - beach,Visits
S92000003,2016,Count,Million Visits,7,Seaside resort or town,Visits
S92000003,2015,Count,Million Visits,8,Seaside resort or town,Visits
S92000003,2018,Count,Million Visits,5,Seaside - beach,Visits
S92000003,2019,Count,Million Visits,9,Seaside resort or town,Visits
S92000003,2013,Count,Million Visits,8,Seaside resort or town,Visits
S92000003,2014,Count,Million Visits,59,City/large town,Visits
S92000003,2014,Count,Million Visits,8,Seaside resort or town,Visits
S92000003,2018,Count,Million Visits,17,Rural countryside,Visits
S92000003,2014,Count,Million Visits,19,Rural countryside,Visits
S92000003,2013,Count,Million Visits,124,All areas,Visits
S92000003,2017,Count,Million Visits,21,Rural countryside,Visits
S92000003,2016,Count,Million Visits,22,Rural countryside,Visits
S92000003,2019,Count,Million Visits,19,Rural countryside,Visits
S92000003,2014,Count,Million Visits,2,Seaside - other,Visits
S92000003,2017,Count,Million Visits,9,Seaside resort or town,Visits
S92000003,2018,Count,Million Visits,8,Seaside resort or town,Visits
S92000003,2014,Count,Million Visits,127,All areas,Visits
S92000003,2015,Count,Million Visits,124,All areas,Visits
S92000003,2013,Count,Million Visits,4,Seaside - beach,Visits
S92000003,2016,Count,Million Visits,142,All areas,Visits
S92000003,2016,Count,Million Visits,2,Seaside - other,Visits
S92000003,2017,Count,Million Visits,2,Seaside - other,Visits
S92000003,2015,Count,Million Visits,11,Village,Visits
S92000003,2013,Count,Million Visits,18,Rural countryside,Visits
S92000003,2015,Count,Million Visits,17,Rural countryside,Visits
S92000003,2016,Count,Million Visits,39,Small town,Visits
S92000003,2017,Count,Million Visits,40,Small town,Visits
S92000003,2019,Count,Million Visits,37,Small town,Visits
S92000003,2019,Count,Million Visits,134,All areas,Visits
S92000003,2018,Count,Million Visits,2,Seaside - other,Visits
S92000003,2019,Count,Million Visits,1,Seaside - other,Visits
S92000003,2015,Count,Million Visits,2,Seaside - other,Visits
S92000003,2018,Count,Million Visits,138,All areas,Visits
S92000003,2013,Count,Million Visits,3,Seaside - other,Visits
S92000003,2017,Count,Million Visits,151,All areas,Visits
